"","STATECD","Abbr"
"1",1,"AL"
"2",2,"AK"
"3",4,"AZ"
"4",5,"AR"
"5",6,"CA"
"6",8,"CO"
"7",9,"CT"
"8",10,"DE"
"9",12,"FL"
"10",13,"GA"
"11",15,"HI"
"12",16,"ID"
"13",17,"IL"
"14",18,"IN"
"15",19,"IA"
"16",20,"KS"
"17",21,"KY"
"18",22,"LA"
"19",23,"ME"
"20",24,"MD"
"21",25,"MA"
"22",26,"MI"
"23",27,"MN"
"24",28,"MS"
"25",29,"MO"
"26",30,"MT"
"27",31,"NE"
"28",32,"NV"
"29",33,"NH"
"30",34,"NJ"
"31",35,"NM"
"32",36,"NY"
"33",37,"NC"
"34",38,"ND"
"35",39,"OH"
"36",40,"OK"
"37",41,"OR"
"38",42,"PA"
"39",44,"RI"
"40",45,"SC"
"41",46,"SD"
"42",47,"TN"
"43",48,"TX"
"44",49,"UT"
"45",50,"VT"
"46",51,"VA"
"47",53,"WA"
"48",54,"WV"
"49",55,"WI"
"50",56,"WY"
